respondent_id,loan_amount_000s,state_abbr,year
549300CEHN5CVC6INV48,405711,OH,2017
549300CEHN5CVC6INV48,1584405,OH,2017
549300CEHN5CVC6INV48,217952,OH,2017
549300CEHN5CVC6INV48,1063395,OH,2017
549300CEHN5CVC6INV48,252315,OH,2017
549300CEHN5CVC6INV48,459783,OH,2017
549300CEHN5CVC6INV48,1452713,OH,2017
549300CEHN5CVC6INV48,222579,OH,2017
549300CEHN5CVC6INV48,1759157,OH,2017
549300CEHN5CVC6INV48,548242,OH,2017
549300CEHN5CVC6INV48,474564,OH,2017
549300CEHN5CVC6INV48,835831,OH,2017
549300CEHN5CVC6INV48,836326,OH,2017
549300CEHN5CVC6INV48,410744,OH,2017
549300CEHN5CVC6INV48,1319160,OH,2017
549300CEHN5CVC6INV48,939052,OH,2017
549300CEHN5CVC6INV48,704474,OH,2017
549300CEHN5CVC6INV48,641377,OH,2017
549300CEHN5CVC6INV48,1049734,OH,2017
549300CEHN5CVC6INV48,774343,OH,2017
549300CEHN5CVC6INV48,470775,OH,2017
549300CEHN5CVC6INV48,845048,OH,2017
549300CEHN5CVC6INV48,987633,OH,2017
549300CEHN5CVC6INV48,1404229,OH,2017
549300CEHN5CVC6INV48,706745,OH,2017
549300CEHN5CVC6INV48,1110509,OH,2017
549300CEHN5CVC6INV48,1024425,OH,2017
549300CEHN5CVC6INV48,1056308,OH,2017
549300CEHN5CVC6INV48,954131,OH,2017
549300CEHN5CVC6INV48,432752,OH,2017
549300CEHN5CVC6INV48,530835,OH,2017
549300CEHN5CVC6INV48,632165,OH,2017
549300CEHN5CVC6INV48,1494686,OH,2017
549300CEHN5CVC6INV48,1019375,OH,2017
549300CEHN5CVC6INV48,1745999,OH,2017
549300CEHN5CVC6INV48,541170,OH,2017
549300CEHN5CVC6INV48,1519224,OH,2017
549300CEHN5CVC6INV48,656209,OH,2017
549300CEHN5CVC6INV48,330131,OH,2017
549300CEHN5CVC6INV48,1198387,OH,2017
549300CEHN5CVC6INV48,824115,OH,2017
549300CEHN5CVC6INV48,573998,OH,2017
549300CEHN5CVC6INV48,1894471,OH,2017
549300CEHN5CVC6INV48,1270720,OH,2017
549300CEHN5CVC6INV48,1332137,OH,2017
549300CEHN5CVC6INV48,1233241,OH,2017
549300CEHN5CVC6INV48,1530143,OH,2017
549300CEHN5CVC6INV48,1452224,OH,2017
549300CEHN5CVC6INV48,1663167,OH,2017
549300CEHN5CVC6INV48,1984874,OH,2017
549300CEHN5CVC6INV48,577428,OH,2017
549300CEHN5CVC6INV48,1798467,OH,2017
549300CEHN5CVC6INV48,1376414,OH,2017
549300CEHN5CVC6INV48,1422443,OH,2017
549300CEHN5CVC6INV48,537106,OH,2017
549300CEHN5CVC6INV48,510807,OH,2017
549300CEHN5CVC6INV48,1138364,OH,2017
549300CEHN5CVC6INV48,420290,OH,2017
549300CEHN5CVC6INV48,1109792,OH,2017
549300CEHN5CVC6INV48,1863236,OH,2017
549300CEHN5CVC6INV48,1220133,OH,2017
549300CEHN5CVC6INV48,1299654,OH,2017
549300CEHN5CVC6INV48,758920,OH,2017
549300CEHN5CVC6INV48,1108372,OH,2017
549300CEHN5CVC6INV48,1210289,OH,2017
549300CEHN5CVC6INV48,1769455,OH,2017
549300CEHN5CVC6INV48,1194020,OH,2017
549300CEHN5CVC6INV48,871689,OH,2017
549300CEHN5CVC6INV48,1143498,OH,2017
549300CEHN5CVC6INV48,670810,OH,2017
549300CEHN5CVC6INV48,1261759,OH,2017
